university,prof_title,first_lesson,second_lesson,total_grant,full_kz,full_ru,full_en,shortened_kz,shortened_ru
Mangistau University of Humanities and Technology,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Aktobe State Regional University named after K.Zhubanov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Aktobe University S. Baisheva,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh-Russian International University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Almaty Academy of Economics and Statistics,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Almaty Technological University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Almaty Management University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Eurasian Technical University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh Automobile and Road Academy named after L. Goncharov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh Academy of Transport and Communications named after M. Tynyshpayev,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh Academy of Labor and Social Relations,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh State Women's Pedagogical University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh National Agrarian University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh National Pedagogical University named after Abay,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Al-Farabi Kazakh National University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh University of Railways,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakhstan Engineering and Technology University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
"Kazakhstan Institute of Management, Economics and FRudnycasting",Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Caspian Public University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
International Education Corporation,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
University of Narxoz,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
University of Turan,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
University named after Suleiman Demirel,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
University of FRudnyign Languages ​​and Business Careers,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
University of International Business,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Central Asian University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Eurasian National University named after L. N. Gumilyov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh Agrotechnical University named after S. Seifullin,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh Humanitarian Law University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh University of Technology and Business,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
"Kazakh University of Economics, Finance and International Trade",Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Astana University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
"University ""Turan — Astana""",Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Financial Academy,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Atyrau State University named after H. Dosmukhamedov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Atyrau University of Oil and Gas,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Syrdaria University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Karaganda State Technical University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Karaganda State University named after E. A. Buketov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Karaganda Economic University of Kazpotrebsoyuz,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Temirtau,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Central Kazakhstan Academy,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Humanitarian Technical Academy,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kokshetau State University named after Sh. Ualikhanov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kokshetau University named after A. Myrzakhmetov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kostanay State University named after A. Baitursynov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kostanay Engineering and Economic University named after M. Dulatov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kostanay socio-technical university named after Z. Aldamzhar,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
"Humanitarian and Technical Institute ""Akmeshit""",Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kyzylorda State University named after Korkyt Ata,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
University Bolashak,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Innovative Eurasian University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Pavlodar State University named after S. Toraigyrov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Shakarim Semey State University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh Humanitarian Law Innovation University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Academy of Economics and Law named after O. A. Dzholdasbekov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Zhetysu State University named after I. Zhansugurov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Taraz State University named after M. Dulati,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Taraz University of Humanities and Innovation,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
International Kazakh-Turkish University named after H.A. Yassavi,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
West Kazakhstan Agrarian and Technical University named after Zhangir Khan,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
West Kazakhstan State University named after M. Utemisov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
West Kazakhstan Innovation and Technology University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakhstan University of Innovation and Telecommunication Systems,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
East Kazakhstan State Technical University named after D. Serikbayev,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
East Kazakhstan State University named after S. Amanzholov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh-American Free University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakhstan Engineering and Pedagogical University of Friendship of Peoples,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
International University of Humanities and Technology,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Regional Social Innovation University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Miras University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Shymkent University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
South Kazakhstan State University named after M.O. Auezov,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
South Kazakhstan Humanitarian Institute named after M. Saparbayev,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
South Kazakhstan Pedagogical University,Accounting and Auditing,Maths,Geography,110,83,27,0,0,0
Kazakh National Academy of Arts named after T.K. Zhurgenov,Actor,Creative exam,Creative exam,9,7,2,0,0,0
Kazakh National University of Arts,Actor,Creative exam,Creative exam,9,7,2,0,0,0
International Kazakh-Turkish University named after H.A. Yassavi,Actor,Creative exam,Creative exam,9,7,2,0,0,0
Kazakh National Agrarian University,Agricultural machinery and technology,Maths,Physics,245,176,59,0,8,2
Kazakh National Research Technical University named after K.I.Satpayev,Agricultural machinery and technology,Maths,Physics,245,176,59,0,8,2
Kazakh Agrotechnical University named after S. Seifullin,Agricultural machinery and technology,Maths,Physics,245,176,59,0,8,2
Kokshetau State University named after Sh. Ualikhanov,Agricultural machinery and technology,Maths,Physics,245,176,59,0,8,2
Kostanay State University named after A. Baitursynov,Agricultural machinery and technology,Maths,Physics,245,176,59,0,8,2
Kostanay Engineering and Economic University named after M. Dulatov,Agricultural machinery and technology,Maths,Physics,245,176,59,0,8,2
Kyzylorda State University named after Korkyt Ata,Agricultural machinery and technology,Maths,Physics,245,176,59,0,8,2
Taraz State University named after M. Dulati,Agricultural machinery and technology,Maths,Physics,245,176,59,0,8,2
West Kazakhstan Agrarian and Technical University named after Zhangir Khan,Agricultural machinery and technology,Maths,Physics,245,176,59,0,8,2
East Kazakhstan State Technical University named after D. Serikbayev,Agricultural machinery and technology,Maths,Physics,245,176,59,0,8,2
South Kazakhstan State University named after M.O. Auezov,Agricultural machinery and technology,Maths,Physics,245,176,59,0,8,2
Aktobe University S. Baisheva,Agronomy,Biology,Chemistry,300,206,69,0,19,6
Kazakh National Agrarian University,Agronomy,Biology,Chemistry,300,206,69,0,19,6
Kazakh Agrotechnical University named after S. Seifullin,Agronomy,Biology,Chemistry,300,206,69,0,19,6
Atyrau State University named after H. Dosmukhamedov,Agronomy,Biology,Chemistry,300,206,69,0,19,6
Kokshetau State University named after Sh. Ualikhanov,Agronomy,Biology,Chemistry,300,206,69,0,19,6
Kostanay State University named after A. Baitursynov,Agronomy,Biology,Chemistry,300,206,69,0,19,6
Kostanay Engineering and Economic University named after M. Dulatov,Agronomy,Biology,Chemistry,300,206,69,0,19,6
Kyzylorda State University named after Korkyt Ata,Agronomy,Biology,Chemistry,300,206,69,0,19,6
Pavlodar State University named after S. Toraigyrov,Agronomy,Biology,Chemistry,300,206,69,0,19,6
Shakarim Semey State University,Agronomy,Biology,Chemistry,300,206,69,0,19,6
Taraz State University named after M. Dulati,Agronomy,Biology,Chemistry,300,206,69,0,19,6
West Kazakhstan Agrarian and Technical University named after Zhangir Khan,Agronomy,Biology,Chemistry,300,206,69,0,19,6
Shymkent University,Agronomy,Biology,Chemistry,300,206,69,0,19,6
South Kazakhstan State University named after M.O. Auezov,Agronomy,Biology,Chemistry,300,206,69,0,19,6
Al-Farabi Kazakh National University,Archeology and Ethnology,The World History,Geography,43,32,11,0,0,0
Karaganda State University named after E. A. Buketov,Archeology and Ethnology,The World History,Geography,43,32,11,0,0,0
Kyzylorda State University named after Korkyt Ata,Archeology and Ethnology,The World History,Geography,43,32,11,0,0,0
Pavlodar State University named after S. Toraigyrov,Archeology and Ethnology,The World History,Geography,43,32,11,0,0,0
International Kazakh-Turkish University named after H.A. Yassavi,Archeology and Ethnology,The World History,Geography,43,32,11,0,0,0
South Kazakhstan State University named after M.O. Auezov,Archeology and Ethnology,The World History,Geography,43,32,11,0,0,0
Kazakh National Research Technical University named after K.I.Satpayev,Architecture,Creative exam,Creative exam,90,68,22,0,0,0
Caspian Public University,Architecture,Creative exam,Creative exam,90,68,22,0,0,0
International Education Corporation,Architecture,Creative exam,Creative exam,90,68,22,0,0,0
Kazakh Agrotechnical University named after S. Seifullin,Architecture,Creative exam,Creative exam,90,68,22,0,0,0
Karaganda State Technical University,Architecture,Creative exam,Creative exam,90,68,22,0,0,0
Innovative Eurasian University,Architecture,Creative exam,Creative exam,90,68,22,0,0,0
Pavlodar State University named after S. Toraigyrov,Architecture,Creative exam,Creative exam,90,68,22,0,0,0
Taraz State University named after M. Dulati,Architecture,Creative exam,Creative exam,90,68,22,0,0,0
East Kazakhstan State Technical University named after D. Serikbayev,Architecture,Creative exam,Creative exam,90,68,22,0,0,0
South Kazakhstan State University named after M.O. Auezov,Architecture,Creative exam,Creative exam,90,68,22,0,0,0
Al-Farabi Kazakh National University,"Archival, documentation and documentation support",Kazakh / Russian language,Kazakh / Russian literature,20,15,5,0,0,0
Kazakh National Academy of Arts named after T.K. Zhurgenov,Art history,Creative exam,Creative exam,7,5,2,0,0,0
Kazakh National Academy of ChRudnyography,Art history,Creative exam,Creative exam,7,5,2,0,0,0
Kazakh National University of Arts,Art history,Creative exam,Creative exam,7,5,2,0,0,0
Kazakh National Academy of Arts named after T.K. Zhurgenov,Art Management,Creative exam,Creative exam,0,0,0,0,0,0
Kazakh National Conservatory named after Kurmangazy,Art Management,Creative exam,Creative exam,0,0,0,0,0,0
Kazakh National Academy of ChRudnyography,Art Management,Creative exam,Creative exam,0,0,0,0,0,0
Kazakh National University of Arts,Art Management,Creative exam,Creative exam,0,0,0,0,0,0
Aktobe University S. Baisheva,automation and control,Maths,Physics,1530,1070,358,0,78,28
Kazakh-Russian International University,automation and control,Maths,Physics,1530,1070,358,0,78,28
Almaty Technological University,automation and control,Maths,Physics,1530,1070,358,0,78,28
Almaty University of Energy and Communications,automation and control,Maths,Physics,1530,1070,358,0,78,28
Kazakh Academy of Transport and Communications named after M. Tynyshpayev,automation and control,Maths,Physics,1530,1070,358,0,78,28
Kazakh National Agrarian University,automation and control,Maths,Physics,1530,1070,358,0,78,28
Kazakh National Research Technical University named after K.I.Satpayev,automation and control,Maths,Physics,1530,1070,358,0,78,28
Al-Farabi Kazakh National University,automation and control,Maths,Physics,1530,1070,358,0,78,28
Kazakh University of Railways,automation and control,Maths,Physics,1530,1070,358,0,78,28
Kazakhstan Engineering and Technology University,automation and control,Maths,Physics,1530,1070,358,0,78,28
Kazakh-British Technical University,automation and control,Maths,Physics,1530,1070,358,0,78,28
Caspian Public University,automation and control,Maths,Physics,1530,1070,358,0,78,28
Eurasian National University named after L. N. Gumilyov,automation and control,Maths,Physics,1530,1070,358,0,78,28
Atyrau State University named after H. Dosmukhamedov,automation and control,Maths,Physics,1530,1070,358,0,78,28
Atyrau University of Oil and Gas,automation and control,Maths,Physics,1530,1070,358,0,78,28
Zhezkazgan University named after O. A. Baikonurov,automation and control,Maths,Physics,1530,1070,358,0,78,28
Karaganda State Technical University,automation and control,Maths,Physics,1530,1070,358,0,78,28
Temirtau,automation and control,Maths,Physics,1530,1070,358,0,78,28
Kostanay Engineering and Economic University named after M. Dulatov,automation and control,Maths,Physics,1530,1070,358,0,78,28
Pavlodar State University named after S. Toraigyrov,automation and control,Maths,Physics,1530,1070,358,0,78,28
Rudny Industrial Institute,automation and control,Maths,Physics,1530,1070,358,0,78,28
Shakarim Semey State University,automation and control,Maths,Physics,1530,1070,358,0,78,28
Taraz State University named after M. Dulati,automation and control,Maths,Physics,1530,1070,358,0,78,28
International Kazakh-Turkish University named after H.A. Yassavi,automation and control,Maths,Physics,1530,1070,358,0,78,28
Kazakhstan University of Innovation and Telecommunication Systems,automation and control,Maths,Physics,1530,1070,358,0,78,28
East Kazakhstan State Technical University named after D. Serikbayev,automation and control,Maths,Physics,1530,1070,358,0,78,28
South Kazakhstan State University named after M.O. Auezov,automation and control,Maths,Physics,1530,1070,358,0,78,28
Military Institute of the Air Defense Forces of the Ministry of Defense of the Republic of Kazakhstan,Aviation Engineering and Technology,Maths,Physics,220,150,15,0,15,5
Kazakh National Research Technical University named after K.I.Satpayev,Aviation Engineering and Technology,Maths,Physics,220,150,15,0,15,5
Kazakh National Pedagogical University named after Abay,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
Atyrau State University named after H. Dosmukhamedov,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
Karaganda State University named after E. A. Buketov,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
Kokshetau University named after A. Myrzakhmetov,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
Kyzylorda State University named after Korkyt Ata,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
University Bolashak,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
Pavlodar State Pedagogical Institute,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
North Kazakhstan State University named after M. Kozybaev,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
Zhetysu State University named after I. Zhansugurov,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
Taraz State Pedagogical University,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
Taraz University of Humanities and Innovation,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
International Kazakh-Turkish University named after H.A. Yassavi,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
West Kazakhstan State University named after M. Utemisov,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
East Kazakhstan State University named after S. Amanzholov,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
South Kazakhstan State Pedagogical Institute,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
South Kazakhstan State University named after M.O. Auezov,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
South Kazakhstan Humanitarian Institute named after M. Saparbayev,basic military training,Creative exam,Creative exam,40,13,10,0,0,0
Aktobe State Regional University named after K.Zhubanov,Biology,Biology,Chemistry,545,135,45,250,86,29
Kazakh State Women's Pedagogical University,Biology,Biology,Chemistry,545,135,45,250,86,29
Kazakh National Pedagogical University named after Abay,Biology,Biology,Chemistry,545,135,45,250,86,29
Kazakh National Pedagogical University named after Abay,Biology,Biology,Chemistry,350,263,87,0,0,0
Al-Farabi Kazakh National University,Biology,Biology,Chemistry,350,263,87,0,0,0
Central Asian University,Biology,Biology,Chemistry,545,135,45,250,86,29
Arkalyk State Pedagogical Institute named after I. Altynsarin,Biology,Biology,Chemistry,545,135,45,250,86,29
Eurasian National University named after L. N. Gumilyov,Biology,Biology,Chemistry,545,135,45,250,86,29
Atyrau State University named after H. Dosmukhamedov,Biology,Biology,Chemistry,545,135,45,250,86,29
Zhezkazgan University named after O. A. Baikonurov,Biology,Biology,Chemistry,545,135,45,250,86,29
Syrdaria University,Biology,Biology,Chemistry,545,135,45,250,86,29
Syrdaria University,Biology,Biology,Chemistry,350,263,87,0,0,0
Karaganda State University named after E. A. Buketov,Biology,Biology,Chemistry,350,263,87,0,0,0
Kokshetau State University named after Sh. Ualikhanov,Biology,Biology,Chemistry,545,135,45,250,86,29
Kostanay State Pedagogical Institute,Biology,Biology,Chemistry,545,135,45,250,86,29
Kostanay State University named after A. Baitursynov,Biology,Biology,Chemistry,350,263,87,0,0,0
Kyzylorda State University named after Korkyt Ata,Biology,Biology,Chemistry,545,135,45,250,86,29
University Bolashak,Biology,Biology,Chemistry,545,135,45,250,86,29
Innovative Eurasian University,Biology,Biology,Chemistry,545,135,45,250,86,29
Innovative Eurasian University,Biology,Biology,Chemistry,350,263,87,0,0,0
Pavlodar State Pedagogical Institute,Biology,Biology,Chemistry,545,135,45,250,86,29
Pavlodar State Pedagogical Institute,Biology,Biology,Chemistry,350,263,87,0,0,0
Pavlodar State University named after S. Toraigyrov,Biology,Biology,Chemistry,350,263,87,0,0,0
North Kazakhstan State University named after M. Kozybaev,Biology,Biology,Chemistry,545,135,45,250,86,29
Shakarim Semey State University,Biology,Biology,Chemistry,545,135,45,250,86,29
Zhetysu State University named after I. Zhansugurov,Biology,Biology,Chemistry,545,135,45,250,86,29
Taraz State Pedagogical University,Biology,Biology,Chemistry,545,135,45,250,86,29
Taraz State University named after M. Dulati,Biology,Biology,Chemistry,545,135,45,250,86,29
Taraz University of Humanities and Innovation,Biology,Biology,Chemistry,350,263,87,0,0,0
International Kazakh-Turkish University named after H.A. Yassavi,Biology,Biology,Chemistry,545,135,45,250,86,29
West Kazakhstan State University named after M. Utemisov,Biology,Biology,Chemistry,545,135,45,250,86,29
East Kazakhstan State University named after S. Amanzholov,Biology,Biology,Chemistry,545,135,45,250,86,29
East Kazakhstan State University named after S. Amanzholov,Biology,Biology,Chemistry,350,263,87,0,0,0
Kazakhstan Engineering and Pedagogical University of Friendship of Peoples,Biology,Biology,Chemistry,545,135,45,250,86,29
International University of Humanities and Technology,Biology,Biology,Chemistry,545,135,45,250,86,29
Regional Social Innovation University,Biology,Biology,Chemistry,545,135,45,250,86,29
Regional Social Innovation University,Biology,Biology,Chemistry,350,263,87,0,0,0
Miras University,Biology,Biology,Chemistry,545,135,45,250,86,29
Shymkent University,Biology,Biology,Chemistry,545,135,45,250,86,29
Shymkent University,Biology,Biology,Chemistry,350,263,87,0,0,0
South Kazakhstan State Pedagogical Institute,Biology,Biology,Chemistry,545,135,45,250,86,29
South Kazakhstan State University named after M.O. Auezov,Biology,Biology,Chemistry,545,135,45,250,86,29
South Kazakhstan State University named after M.O. Auezov,Biology,Biology,Chemistry,350,263,87,0,0,0
South Kazakhstan Pedagogical University,Biology,Biology,Chemistry,545,135,45,250,86,29
Almaty Technological University,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Kazakh National Agrarian University,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Kazakh National Research Technical University named after K.I.Satpayev,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Al-Farabi Kazakh National University,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Kazakhstan Engineering and Technology University,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Eurasian National University named after L. N. Gumilyov,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Kazakh Agrotechnical University named after S. Seifullin,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Kazakh University of Technology and Business,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Karaganda State Technical University,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Karaganda State University named after E. A. Buketov,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Kokshetau State University named after Sh. Ualikhanov,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Kostanay State University named after A. Baitursynov,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Innovative Eurasian University,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Pavlodar State University named after S. Toraigyrov,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Shakarim Semey State University,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Taraz State University named after M. Dulati,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
West Kazakhstan Agrarian and Technical University named after Zhangir Khan,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
South Kazakhstan State University named after M.O. Auezov,Biotechnology,Biology,Chemistry,995,746,249,0,0,0
Aktobe State Regional University named after K.Zhubanov,Building,Maths,Physics,670,383,127,0,120,40
Aktobe University S. Baisheva,Building,Maths,Physics,670,383,127,0,120,40
Kazakh-Russian International University,Building,Maths,Physics,670,383,127,0,120,40
Kazakh Automobile and Road Academy named after L. Goncharov,Building,Maths,Physics,670,383,127,0,120,40
Kazakh Academy of Transport and Communications named after M. Tynyshpayev,Building,Maths,Physics,670,383,127,0,120,40
Kazakh National Research Technical University named after K.I.Satpayev,Building,Maths,Physics,670,383,127,0,120,40
Caspian Public University,Building,Maths,Physics,670,383,127,0,120,40
International Education Corporation,Building,Maths,Physics,670,383,127,0,120,40
Central Asian University,Building,Maths,Physics,670,383,127,0,120,40
Astana University,Building,Maths,Physics,670,383,127,0,120,40
Atyrau State University named after H. Dosmukhamedov,Building,Maths,Physics,670,383,127,0,120,40
Atyrau University of Oil and Gas,Building,Maths,Physics,670,383,127,0,120,40
Zhezkazgan University named after O. A. Baikonurov,Building,Maths,Physics,670,383,127,0,120,40
Karaganda State Technical University,Building,Maths,Physics,670,383,127,0,120,40
Temirtau,Building,Maths,Physics,670,383,127,0,120,40
Kokshetau State University named after Sh. Ualikhanov,Building,Maths,Physics,670,383,127,0,120,40
"Humanitarian and Technical Institute ""Akmeshit""",Building,Maths,Physics,670,383,127,0,120,40
Kyzylorda State University named after Korkyt Ata,Building,Maths,Physics,670,383,127,0,120,40
University Bolashak,Building,Maths,Physics,670,383,127,0,120,40
Innovative Eurasian University,Building,Maths,Physics,670,383,127,0,120,40
Pavlodar State University named after S. Toraigyrov,Building,Maths,Physics,670,383,127,0,120,40
Rudny Industrial Institute,Building,Maths,Physics,670,383,127,0,120,40
Shakarim Semey State University,Building,Maths,Physics,670,383,127,0,120,40
Taraz State University named after M. Dulati,Building,Maths,Physics,670,383,127,0,120,40
West Kazakhstan Agrarian and Technical University named after Zhangir Khan,Building,Maths,Physics,670,383,127,0,120,40
West Kazakhstan Innovation and Technology University,Building,Maths,Physics,670,383,127,0,120,40
East Kazakhstan State Technical University named after D. Serikbayev,Building,Maths,Physics,670,383,127,0,120,40
Kazakhstan Engineering and Pedagogical University of Friendship of Peoples,Building,Maths,Physics,670,383,127,0,120,40
South Kazakhstan State University named after M.O. Auezov,Building,Maths,Physics,670,383,127,0,120,40
Kazakh National Agrarian University,Cadastre,Biology,Geography,100,75,25,0,0,0
Al-Farabi Kazakh National University,Cadastre,Biology,Geography,100,75,25,0,0,0
Kazakh Agrotechnical University named after S. Seifullin,Cadastre,Biology,Geography,100,75,25,0,0,0
Kokshetau State University named after Sh. Ualikhanov,Cadastre,Biology,Geography,100,75,25,0,0,0
Kyzylorda State University named after Korkyt Ata,Cadastre,Biology,Geography,100,75,25,0,0,0
Taraz State University named after M. Dulati,Cadastre,Biology,Geography,100,75,25,0,0,0
West Kazakhstan Agrarian and Technical University named after Zhangir Khan,Cadastre,Biology,Geography,100,75,25,0,0,0
West Kazakhstan Innovation and Technology University,Cadastre,Biology,Geography,100,75,25,0,0,0
East Kazakhstan State Technical University named after D. Serikbayev,Cadastre,Biology,Geography,100,75,25,0,0,0
South Kazakhstan State University named after M.O. Auezov,Cadastre,Biology,Geography,100,75,25,0,0,0
Kazakh National Academy of Arts named after T.K. Zhurgenov,Camera art,Creative exam,Creative exam,7,5,2,0,0,0
University of Turan,Camera art,Creative exam,Creative exam,7,5,2,0,0,0
Kazakh National University of Arts,Camera art,Creative exam,Creative exam,7,5,2,0,0,0
Aktobe State Regional University named after K.Zhubanov,Chemical technology of inorganic substances,Chemistry,Physics,350,248,82,0,15,5
Kazakh-Russian International University,Chemical technology of inorganic substances,Chemistry,Physics,350,248,82,0,15,5
Kazakh National Research Technical University named after K.I.Satpayev,Chemical technology of inorganic substances,Chemistry,Physics,350,248,82,0,15,5
Al-Farabi Kazakh National University,Chemical technology of inorganic substances,Chemistry,Physics,350,248,82,0,15,5
Karaganda State University named after E. A. Buketov,Chemical technology of inorganic substances,Chemistry,Physics,350,248,82,0,15,5
Innovative Eurasian University,Chemical technology of inorganic substances,Chemistry,Physics,350,248,82,0,15,5
Pavlodar State University named after S. Toraigyrov,Chemical technology of inorganic substances,Chemistry,Physics,350,248,82,0,15,5
Shakarim Semey State University,Chemical technology of inorganic substances,Chemistry,Physics,350,248,82,0,15,5
Taraz State University named after M. Dulati,Chemical technology of inorganic substances,Chemistry,Physics,350,248,82,0,15,5
West Kazakhstan Agrarian and Technical University named after Zhangir Khan,Chemical technology of inorganic substances,Chemistry,Physics,350,248,82,0,15,5
West Kazakhstan State University named after M. Utemisov,Chemical technology of inorganic substances,Chemistry,Physics,350,248,82,0,15,5
South Kazakhstan State University named after M.O. Auezov,Chemical technology of inorganic substances,Chemistry,Physics,350,248,82,0,15,5
Caspian State University of Technology and Engineering named after S. Yesenov,Chemical Technology of Organic Substances,Chemistry,Physics,250,173,57,0,15,5
Aktobe State Regional University named after K.Zhubanov,Chemical Technology of Organic Substances,Chemistry,Physics,250,173,57,0,15,5
Almaty Technological University,Chemical Technology of Organic Substances,Chemistry,Physics,250,173,57,0,15,5
Kazakh National Research Technical University named after K.I.Satpayev,Chemical Technology of Organic Substances,Chemistry,Physics,250,173,57,0,15,5
Kazakhstan Engineering and Technology University,Chemical Technology of Organic Substances,Chemistry,Physics,250,173,57,0,15,5
Kazakh University of Technology and Business,Chemical Technology of Organic Substances,Chemistry,Physics,250,173,57,0,15,5
Atyrau University of Oil and Gas,Chemical Technology of Organic Substances,Chemistry,Physics,250,173,57,0,15,5
Karaganda State Technical University,Chemical Technology of Organic Substances,Chemistry,Physics,250,173,57,0,15,5
Temirtau,Chemical Technology of Organic Substances,Chemistry,Physics,250,173,57,0,15,5
Central Kazakhstan Academy,Chemical Technology of Organic Substances,Chemistry,Physics,250,173,57,0,15,5
University Bolashak,Chemical Technology of Organic Substances,Chemistry,Physics,250,173,57,0,15,5
Innovative Eurasian University,Chemical Technology of Organic Substances,Chemistry,Physics,250,173,57,0,15,5
Pavlodar State University named after S. Toraigyrov,Chemical Technology of Organic Substances,Chemistry,Physics,250,173,57,0,15,5
